,pol_filtered,pol
0,4044.825,6037.407
1,4922.767,4398.606
2,5803.999,4784.376
3,2654.598,4370.803
4,7873.41,2105.474
5,4585.588,2947.268
6,4707.035,9150.446
7,4811.345,1664.846
8,2104.383,4692.682
9,12585.58,12585.58
10,4192.028,2773.809
11,1865.708,3781.456
12,3218.761,2856.112
13,1967.967,4864.579
14,6498.452,3026.443
15,3364.409,7039.143
16,2309.412,2880.251
17,3266.254,3104.402
18,2864.361,2957.579
19,4582.426,3120.565
20,4129.309,5228.291
21,3219.271,6670.42
22,2514.119,3667.921
23,3610.301,2298.499
24,5059.753,1615.082
25,2010.783,24343.67
26,5815.471,7129.745
27,2777.779,3689.912
28,13949.93,3186.701
29,2964.391,7190.648
30,2165.579,4913.339
31,1383.069,6682.996
32,5412.752,2985.815
33,6569.462,4920.464
34,4529.42,3236.95
35,5457.643,4463.845
36,3188.561,5953.583
37,18374.22,12585.58
38,3273.343,1921.348
39,73743.62,7322.327
40,2996.326,3415.533
41,3977.392,8828.611
42,3859.26,10944.92
43,4179.16,7253.332
44,8359.93,10504.88
45,4398.063,4678.484
46,18674.48,31928.04
47,3126.987,3625.348
48,30936.34,30964.09
49,4679.421,2389.895
50,6499.368,3056.553
51,5411.74,4422.942
52,2630.405,5505.254
53,5122.235,4741.006
54,4709.655,4991.014
55,4387.547,10107.48
56,3593.121,2331.907
57,5346.726,3460.929
58,2693.933,6717.164
59,3472.979,3345.95
60,12585.58,3147.491
61,4300.754,5450.617
62,4415.778,4571.406
63,3850.38,6462.004
64,7937.638,4020.733
65,4661.052,5847.371
66,6268.508,7514.036
67,3668.969,3407.94
68,4399.499,11389.26
69,4877.453,2731.543
70,4657.325,23865.24
71,6872.013,3884.42
72,3430.507,7262.466
73,2144.444,2677.113
74,3425.574,5022.652
75,3762.354,4199.543
76,4504.463,5423.008
77,3274.508,5420.173
78,7574.05,2257.632
79,4832.564,3362.514
80,2881.94,85646.03
81,3770.615,4945.805
82,4381.414,3448.584
83,3894.501,6369.86
84,3364.049,6174.101
85,18374.22,8589.249
86,15462.37,6477.153
87,3109.286,5309.734
88,7313.993,3315.171
89,2681.328,4781.784
90,2896.431,4308.904
91,18850.96,3514.999
92,9857.134,5728.269
93,4322.929,4231.199
94,2125.856,5934.197
95,7205.887,3393.99
96,7367.309,6377.792
97,4176.862,2352.026
98,5369.6,2394.859
99,4804.187,5737.003
100,3626.653,247721.2
101,4257.718,3328.204
